BCDJDJJDXXX,BANQUE CENTRALE DE DJIBOUTI  
BCIMDJJXXXX,BANQUE POUR LE COMMERCE ET L’INDUSTRIE – MER ROUGE
BKCHDJJDXXX,BANQUE DE CHINE (DJIBOUTI) SA
BNDJDJD1XXX,BANQUE CENTRALE DE DJIBOUTI
CACDDJJDXXX,CAC INTERNATIONAL BANK
CBETDJJDXXX,COMMERCIAL BANK OF ETHIOPIA DJIBOUTI LTD
DECDDJJDXXX,BANQUE DE DEPOT ET CREDIT DJIBOUTI
EABDDJJDXXX,EAST AFRICA BANK
EXTNDJJDXXX,EXIM BANK (DJIBOUTI) S.A.
IBBDDJJDXXX,INTERNATIONAL BUSINESS BANK DJIBOUTI (IB BANK-DJIBOUTI)
ICDJDJJDXXX,INTERNATIONAL INVESTMENT BANK S.A, DJIBOUTI
ISEADJJDXXX,SALAAM AFRICAN BANK
MRINDJJDXXX,BANK OF AFRICA MER ROUGE
SRIBDJJDXXX,SILK ROAD INTERNATIONAL BANK S.A
